Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20190726X01834,2019-07-27,"Sparta, TN",United States,UPPER CUMBERLAND RGNL,Non-Fatal,Substantial,Airplane,Piper,PA46,No,1.0,Reciprocating,Business,"Allied Moulded Products, Inc.",0.0,0.0,0.0,7.0,VMC,,Sparta, TN,2019,7,27,7.0,1.0
20190728X20826,2019-07-27,"Lake, MI",United States,,Non-Fatal,Substantial,Airplane,Icon,A5,No,1.0,Reciprocating,Business,Icon Aircraft Incorporated,0.0,0.0,1.0,1.0,VMC,,Lake, MI,2019,7,27,2.0,1.0
20190801X94426,2019-08-01,"Novato, CA",United States,Gnoss Field,Non-Fatal,Substantial,Airplane,Cessna,P210,No,1.0,Turbo Prop,Business,,0.0,0.0,0.0,2.0,VMC,,Novato, CA,2019,8,1,2.0,1.0
20190806X45857,2019-08-05,"Wolf Point, MT",United States,,Fatal,Destroyed,Airplane,Cessna,182,No,1.0,Reciprocating,Business,,2.0,0.0,0.0,0.0,VMC,,Wolf Point, MT,2019,8,5,2.0,0.0
20190813X55350,2019-08-08,"Lubbock, TX",United States,,Non-Fatal,,Airplane,Canadair,CL600 2B16,No,2.0,Turbo Fan,Business,NETJETS,0.0,2.0,1.0,7.0,VMC,,Lubbock, TX,2019,8,8,10.0,1.0
20190813X74443,2019-08-01,"Kenai, AK",United States,DRIFT RIVER,Non-Fatal,Substantial,Airplane,Douglas,DC3C,No,2.0,Reciprocating,Business,"Bush Air Cargo, Inc.",0.0,0.0,0.0,2.0,VMC,,Kenai, AK,2019,8,1,2.0,1.0
20190815X74831,2019-08-15,"Elizabethton, TN",United States,Elizabethton Muni,Non-Fatal,Destroyed,Airplane,Textron Aviation,680A,No,2.0,Turbo Fan,Business,JRM Air LLC,0.0,3.0,0.0,2.0,VMC,,Elizabethton, TN,2019,8,15,5.0,1.0
20190821X01127,2019-08-21,"Cypress Island, WA",United States,,Non-Fatal,Substantial,Helicopter,Robinson,R44,No,1.0,Reciprocating,Business,Peregrine Air LLC,0.0,2.0,1.0,0.0,VMC,,Cypress Island, WA,2019,8,21,3.0,1.0
20190828X75204,2019-08-27,"San Diego, CA",United States,Gillespie Field,Non-Fatal,Substantial,Helicopter,Bell,206,No,1.0,Turbo Shaft,Business,"Angel City Air, Inc.",0.0,0.0,0.0,2.0,VMC,,San Diego, CA,2019,8,27,2.0,1.0
20190829X34852,2019-08-29,"Olney, TX",United States,Olney Municipal Airport,Non-Fatal,Substantial,Airplane,Tractor,AT502,No,1.0,Turbo Prop,Business,Lane Aviation,0.0,1.0,0.0,0.0,VMC,,Olney, TX,2019,8,29,1.0,1.0
